reference_name,role,suggested_url_or_repo,license_status,adapter_status,trust_level_for_bch_math,trust_level_for_ofec_structure,notes
linux-kernel-bch,mature generic binary BCH implementation,"torvalds/linux: lib/bch.c, include/linux/bch.h",GPL-2.0-only; do not copy code,not configured; behavior adapter not implemented,high as external behavior reference if invoked,none,"Useful for BCH encode/decode, syndrome, Berlekamp-Massey, and root finding behavior checks."
python-bchlib,Python-callable BCH package,jkent/python-bchlib,external package; inspect metadata when installed,"API surveyed; bit-level BCH(255,239) adapter not trusted yet",medium after parameter and bit-order alignment,none,"Installed API supports BCH(t=2,m=8) with n=255/ecc_bits=16, but byte-level message packing needs validation."
galois,mathematical BCH construction/reference,mhostetter/galois Python package,MIT according to installed package metadata when available,implemented through message one-hot encoding,high for mathematical construction,low,Systematic encoding convention and bit ordering still need explicit comparison.
ofec-cnn-local,local user implementation and convention reference,"local path only, stored outside tracked files",local user code; not copied,implemented when BCH_REF_OFEC_PATH or --ofec-path is configured,medium; useful but not a gold standard,high for this project convention checks,May contain bugs; use as one reference among several.
aff3ct,communication/FEC simulation framework,aff3ct/aff3ct,external C++ project; do not copy code,not configured; behavior adapter not implemented,medium if a compatible BCH module is invoked,medium for benchmark/FEC framework design,Useful for architecture and benchmark style as well as optional behavior checks.
ofec-huawei,public C++ oFEC/Huawei-style layout reference,zsr71/oFEC-HUAWEI,external repository; inspect license before use,not configured; code inspection only,medium after local inspection,high as oFEC organization reference,"Inspect params.hpp, bch_255_239.hpp, chase256.cpp, ofec_decoder.cpp, and ofec_encoder.cpp if cloned."
ofec-decoder-vhdl,hardware-oriented oFEC decoder reference,YihanLiu1010/oFEC-Decoder,external repository; inspect license before use,not configured; hardware structure reference only,low for Python behavior comparison,medium for pipeline organization,VHDL/Chase-Pyndiah oriented; not a direct Python backend reference.
ofec-sim,auxiliary simulation-style oFEC reference,zsr71/oFEC-SIM,external repository; inspect license before use,not configured,low until inspected,medium if useful after inspection,Lower priority auxiliary reference.
automa-ofec,auxiliary small oFEC reference,vsousa46/Automa-oFEC,external repository; inspect license before use,not configured,low,low,Low priority; do not rely on it for correctness.
gnuradio-volk,high-throughput stream/SIMD implementation inspiration,GNU Radio / VOLK,external project; do not copy code,not a BCH correctness adapter,none,low,"Useful for chunk processing and SIMD kernel selection ideas, not BCH correctness."
