claim,supporting_files,supporting_fields,recommended_wording,current_status,cautions
GF(2) backend outputs are bit-exact for tested matrices and workloads.,tests/test_correctness.py; results/summary/*_summary.csv,correctness_all_true; correctness_passed,All accelerated GF(2) kernel backends are checked against a naive matrix-vector reference on the tested workloads.,supported,"Scope is tested kernels and matrices, not a full decoder."
Component-decoder decisions are exact in the tested component model.,results/summary/component_decoder_exactness_summary.csv,exact_mismatch_count=0; correctness_all_true=True; all_double_bit_errors,"The component decision path preserves decoded word, correction mask, and status over full double-error coverage.",supported,No BER or full OFEC decoder claim.
PackedBlockLUT is effective for candidate-heavy syndrome computation.,results/summary/candidate_testing_summary.csv,mean_latency_per_candidate_us; correctness_all_true,Packed LUT evaluation reduces per-candidate syndrome cost for candidate-heavy batches while preserving exact syndrome outputs.,supported,"Use candidate-testing wording, not full Chase decoder wording."
EventUpdate accelerates low-flip syndrome updates.,results/summary/event_update_summary.csv,relative_to_from_scratch_packed; flip_count,"For low-flip updates, incremental syndrome updates avoid full recomputation and reduce per-word update latency.",supported,Do not mix update-from-zero candidate testing with real event update claims.
CacheAwarePlanner tracks the measured oracle on major workloads.,results/summary/cache_aware_selection_workload_summary.csv,mean_planner_over_oracle; p90_planner_over_oracle; backend match rates,The cache-footprint-guided planner stays close to the measured oracle across representative GF(2) kernel workloads.,supported,Not a theoretical optimal scheduler.
Block width creates a latency-memory/cache trade-off.,results/summary/cache_aware_summary.csv; results/summary/long_stream_cache_width_summary.csv,block_width; lut_bytes; fits_l1/fits_l2/fits_l3; latency,The best LUT block width depends on the latency-memory trade-off and the cache tier that the LUT footprint reaches.,supported,Use profile-specific wording.
Long-stream cache-width behavior is profile and workload dependent.,results/summary/long_stream_cache_width_summary.csv; results/summary/long_stream_cache_width_replication_summary.csv,best_cache_level; best_l2_over_best_l1; best_l3_over_best_l1,Long-stream measurements show that the preferred cache tier changes with the component profile and iteration regime.,supported,Do not claim L2/L3 universally dominate L1.
The eBCH-like long-stream workload shows condition-specific L3 advantage.,results/summary/long_stream_cache_width_summary.csv; results/summary/long_stream_cache_width_replication_summary.csv,l3_strong_20x_claim=True,"In the tested eBCH-like long-stream regime, an L3-fitting LUT width passes the 20x, stable 20% gate against the best L1-fitting width.",condition-specific,Only for the tested eBCH-like long-stream condition.
L2 evidence is promising but mixed.,results/summary/long_stream_cache_width_summary.csv; results/summary/long_stream_cache_width_replication_summary.csv,l2_strong_20x_claim,"L2-fitting widths can be favorable in selected eBCH-like long-stream measurements, but the evidence is mixed across runs.",mixed,Do not write L2 as a stable strong claim.
Optical trace workload results are kernel-call evidence.,results/summary/optical_workloads_summary.csv,executed_*; aggregate_latency_per_executed_unit_us,Trace-level workloads exercise component-kernel call patterns representative of optical-FEC processing.,supporting,Not a full decoder or BER simulation.
The method is decision-preserving rather than BER-improving.,results/summary/final_exactness_table.csv,exact_mismatch_count=0; correctness_all_true=True,The acceleration replaces exact GF(2) component-kernel computations and is therefore decision-preserving for the tested component model.,supported,Do not claim BER improvement.
